tag	conc	flat_resolve	flat_render	nested_resolve	nested_render
v1.7.4	off	933	17984	6420	39291
v1.7.4	on	933	17984	6514	39385
v1.7.5	off	933	17984	6420	39291
v1.7.5	on	933	17984	6514	39385
v1.7.6	off	933	17984	6420	39291
v1.7.6	on	933	17984	6514	39385
v1.7.7	off	933	17984	6420	39291
v1.7.7	on	933	17984	6514	39385
v1.7.8	off	933	17984	6420	39291
v1.7.8	on	933	17984	6514	39385
v1.7.9	off	933	17984	6420	39291
v1.7.9	on	933	17984	6514	39385
v1.8.0	off	1037	18087	7038	39909
v1.8.0	on	1035	18085	7059	39930
v1.8.1	off	1037	18087	7038	39909
v1.8.1	on	1035	18085	7059	39930
v1.8.2	off	1037	18087	7042	39913
v1.8.2	on	1035	18085	7051	39922
v1.9.0	off	1037	18087	7042	39913
v1.9.0	on	1035	18085	7051	39922
v1.10.0	off	1037	18087	7042	39913
v1.10.0	on	1035	18085	7051	39922
v1.10.1	off	1037	18087	7042	39913
v1.10.1	on	1035	18085	7051	39922
v1.10.2	off	1037	18087	7042	39913
v1.10.2	on	1035	18085	7051	39922
v1.10.3	off	1037	18087	7042	39913
v1.10.3	on	1035	18085	7051	39922
v1.11.0	off	1037	18087	7042	39913
v1.11.0	on	1035	18085	7051	39922
v1.11.1	off	1037	18087	7042	39913
v1.11.1	on	1035	18085	7051	39922
v1.12.0	off	1038	18588	7045	40370
v1.12.0	on	1036	18586	7054	40379
v1.12.1	off	934	18485	6415	39740
v1.12.1	on	1036	18586	7054	40379
v1.12.2	off	934	18485	6415	39740
v1.12.2	on	1036	18586	7054	40379
v1.13.0	off	934	18485	6415	39740
v1.13.0	on	1036	18586	7054	40379
v2.0.0-beta.1	off	934	18485	6415	39740
v2.0.0-beta.1	on	1036	18586	7054	40379
v2.0.0-beta.2	off	934	18485	6415	39740
v2.0.0-beta.2	on	1036	18586	7054	40379
v2.0.0-beta.3	off	934	18485	6415	39740
v2.0.0-beta.3	on	1036	18586	7054	40379
v1.13.1	off	934	18485	6413	39738
v1.13.1	on	1036	18586	7052	40377
v2.0.0-beta.4	off	935	18486	6416	39741
v2.0.0-beta.4	on	1035	18585	7049	40374
v1.13.2	off	934	18485	6413	39738
v1.13.2	on	1036	18586	7052	40377
v2.0.0-beta.5	off	935	18486	6416	39741
v2.0.0-beta.5	on	1035	18585	7049	40374
v1.13.3	off	937	18488	6422	39747
v1.13.3	on	1039	18589	7061	40386
v2.0.0-beta.6	off	938	18489	6425	39750
v2.0.0-beta.6	on	1038	18588	7058	40383
v2.0.0-beta.7	off	1047	18598	6700	40025
v2.0.0-beta.7	on	1147	18697	7333	40658
v2.0.0-beta.8	off	1032	18583	6651	39976
v2.0.0-beta.8	on	1132	18682	7284	40609
SWEEP_DONE
